"","Country","SubRegion","X2020","X2021","Region","big2021","top10","top20"
"115","Nicaragua","Central America and the Caribbean",79.3,77.9,"Central America","FALSE",FALSE,FALSE
"68","Guyana","South America",76.5,70.7,"South America","FALSE",FALSE,FALSE
"54","Fiji","Oceania",72.2,70.5,"AsiaOceania","FALSE",FALSE,FALSE
"25","Burundi","sub-Saharan Africa",67.5,68.4,"Africa","TRUE",FALSE,FALSE
"177","Zimbabwe","sub-Saharan Africa",8.6,65.8,"Africa","TRUE",FALSE,FALSE
"103","Moldova","Eastern Europe",44.5,52.3,"Europe","TRUE",FALSE,FALSE
"158","Timor Leste","South East Asia",38.5,39.2,"AsiaOceania","TRUE",FALSE,FALSE
"91","Lesotho","sub-Saharan Africa",38.6,37,"Africa","FALSE",FALSE,FALSE
"139","Sierra Leone","sub-Saharan Africa",22.4,27.3,"Africa","TRUE",FALSE,FALSE
"67","Guinea-Bissau","sub-Saharan Africa",23.3,26.3,"Africa","TRUE",FALSE,FALSE
"15","Belize","Central America and the Caribbean",26.7,21.8,"Central America","FALSE",FALSE,FALSE
"69","Haiti","Central America and the Caribbean",26.4,20.9,"Central America","FALSE",FALSE,FALSE
"92","Liberia","sub-Saharan Africa",12.1,14,"Africa","TRUE",FALSE,FALSE
"5","Antarctica",NA,0,0,NA,"NoData",FALSE,FALSE
"11","Bahamas",NA,0,0,NA,"NoData",FALSE,FALSE
"17","Bhutan",NA,0,0,NA,"NoData",FALSE,FALSE
"19","Bosnia and Herz.",NA,0,0,NA,"NoData",FALSE,FALSE
"29","Central African Rep.",NA,0,0,NA,"NoData",FALSE,FALSE
"34","Congo",NA,0,0,NA,"NoData",FALSE,FALSE
"35","Costa Rica","Central America and the Caribbean",0,0,"Central America","NoData",FALSE,FALSE
"38","Cuba","Central America and the Caribbean",0,0,"Central America","NoData",FALSE,FALSE
"41","Dem. Rep. Congo",NA,0,0,NA,"NoData",FALSE,FALSE
"43","Djibouti","sub-Saharan Africa",0,0,"Africa","NoData",FALSE,FALSE
"48","Eq. Guinea",NA,0,0,NA,"NoData",FALSE,FALSE
"49","Eritrea","sub-Saharan Africa",0,0,"Africa","NoData",FALSE,FALSE
"51","eSwatini",NA,0,0,NA,"NoData",FALSE,FALSE
"53","Falkland Is.",NA,0,0,NA,"NoData",FALSE,FALSE
"56","Fr. S. Antarctic Lands",NA,0,0,NA,"NoData",FALSE,FALSE
"59","Gambia",NA,0,0,NA,"NoData",FALSE,FALSE
"64","Greenland",NA,0,0,NA,"NoData",FALSE,FALSE
"72","Iceland","Western Europe",0,0,"Europe","NoData",FALSE,FALSE
"87","Kyrgyzstan",NA,0,0,NA,"NoData",FALSE,FALSE
"88","Laos","South East Asia",0,0,"AsiaOceania","NoData",FALSE,FALSE
"90","Lebanon","Middle East",1921.4,0,"Middle East","NoData",FALSE,FALSE
"93","Libya","North Africa",0,0,"North Africa","NoData",FALSE,FALSE
"96","Macedonia",NA,0,0,NA,"NoData",FALSE,FALSE
"109","N. Cyprus",NA,0,0,NA,"NoData",FALSE,FALSE
"113","New Caledonia",NA,0,0,NA,"NoData",FALSE,FALSE
"118","North Korea","East Asia",0,0,"AsiaOceania","NoData",FALSE,FALSE
"122","Palestine",NA,0,0,NA,"NoData",FALSE,FALSE
"123","Panama","Central America and the Caribbean",0,0,"Central America","NoData",FALSE,FALSE
"130","Puerto Rico",NA,0,0,NA,"NoData",FALSE,FALSE
"135","S. Sudan",NA,0,0,NA,"NoData",FALSE,FALSE
"142","Solomon Is.",NA,0,0,NA,"NoData",FALSE,FALSE
"144","Somaliland",NA,0,0,NA,"NoData",FALSE,FALSE
"150","Suriname",NA,0,0,NA,"NoData",FALSE,FALSE
"153","Syria","Middle East",0,0,"Middle East","NoData",FALSE,FALSE
"163","Turkmenistan","Central Asia",0,0,"AsiaOceania","NoData",FALSE,FALSE
"166","United Arab Emirates","Middle East",0,0,"Middle East","NoData",FALSE,FALSE
"170","Uzbekistan","Central Asia",0,0,"AsiaOceania","NoData",FALSE,FALSE
"171","Vanuatu",NA,0,0,NA,"NoData",FALSE,FALSE
"172","Venezuela","South America",0,0,"South America","NoData",FALSE,FALSE
"173","Vietnam","South East Asia",0,0,"AsiaOceania","NoData",FALSE,FALSE
"174","W. Sahara",NA,0,0,NA,"NoData",FALSE,FALSE
"175","Yemen","Middle East",0,0,"Middle East","NoData",FALSE,FALSE
